year,location,exp_num,fish_num,length,depth
2014,Kingcome,NA,127,115,24
2014,Kingcome,NA,128,125,24
2014,Kingcome,NA,129,110,22
2014,Kingcome,NA,130,145,30
2014,Kingcome,NA,131,105,24
2014,Kingcome,NA,132,140,28
2014,Kingcome,NA,133,125,25
2014,Kingcome,NA,134,120,25
2014,Bond,13A,1,110,25
2014,Bond,13A,2,115,20
2014,Bond,13B,3,115,20
2014,Bond,13B,4,110,20
2014,Bond,13B,5,110,20
2014,Bond,13B,6,115,20
2014,Bond,NA,7,115,25
2014,Bond,NA,8,110,20
2014,Bond,NA,9,110,20
2014,Bond,NA,10,110,20
2014,Bond,NA,11,115,20
2014,Bond,NA,12,115,20
2014,Bond,NA,13,115,20
2014,Bond,NA,14,115,20
2014,Bond,NA,15,110,20
2014,Bond,NA,16,115,25
2014,Bond,NA,17,105,20
2014,Bond,NA,18,115,25
2014,Bond,NA,19,115,25
2014,Bond,NA,20,105,20
2014,Bond,NA,21,105,20
2014,Bond,14B,22,115,20
2014,Bond,14B,23,115,25
2014,Bond,14B,24,105,20
2014,Bond,14A,25,110,25
2014,Bond,14A,26,115,25
2014,Bond,14A,27,115,25
2014,Bond,14A,28,110,20
2014,Bond,14A,29,110,20
2014,Bond,NA,30,100,20
2014,Bond,NA,31,100,20
2014,Bond,NA,32,95,20
2014,Bond,14B,33,90,15
2014,Bond,14B,34,90,15
2014,Bond,13A,35,125,26
2014,Bond,13A,36,120,22
2014,Bond,13A,37,120,20
2014,Bond,13A,38,120,25
2014,Bond,13A,39,120,25
2014,Bond,13A,40,120,20
2014,Bond,13A,41,120,30
2014,Bond,13B,42,125,25
2014,Bond,13B,43,120,20
2014,Bond,13B,44,120,26
2014,Bond,13B,45,125,25
2014,Bond,NA,46,120,20
2014,Bond,NA,47,125,25
2014,Bond,NA,48,130,25
2014,Bond,NA,49,125,25
2014,Bond,NA,50,130,25
2014,Bond,NA,51,130,25
2014,Bond,NA,52,130,25
2014,Bond,NA,53,130,30
2014,Bond,NA,54,120,25
2014,Bond,NA,55,125,25
2014,Bond,NA,56,130,25
2014,Bond,NA,57,120,25
2014,Bond,NA,58,125,25
2014,Bond,NA,59,130,25
2014,Bond,NA,60,120,25
2014,Bond,NA,61,125,30
2014,Bond,NA,62,125,25
2014,Bond,NA,63,120,25
2014,Bond,NA,64,120,20
2014,Bond,NA,65,120,25
2014,Bond,NA,66,125,25
2014,Bond,NA,67,120,20
2014,Bond,NA,68,120,25
2014,Bond,NA,69,120,25
2014,Bond,NA,70,120,20
2014,Bond,NA,71,130,25
2014,Bond,NA,72,125,30
2014,Bond,NA,73,125,30
2014,Bond,NA,74,120,20
2014,Bond,NA,75,120,25
2014,Bond,NA,76,120,25
2014,Bond,NA,77,120,25
2014,Bond,NA,78,130,25
2014,Bond,NA,79,120,25
2014,Bond,NA,80,120,25
2014,Bond,NA,81,130,25
2014,Bond,NA,82,125,25
2014,Bond,NA,83,125,25
2014,Bond,NA,84,125,25
2014,Bond,NA,85,125,20
2014,Bond,NA,86,130,25
2014,Bond,14B,87,120,25
2014,Bond,14B,88,130,25
2014,Bond,14B,89,120,20
2014,Bond,14B,90,130,25
2014,Bond,14A,91,130,25
2014,Bond,14A,92,120,25
2014,Bond,14A,93,125,25
2014,Bond,13A,94,140,25
2014,Bond,13B,95,135,25
2014,Bond,13B,96,135,20
2014,Bond,NA,97,140,30
2014,Bond,NA,98,135,30
2014,Bond,NA,99,135,25
2014,Bond,NA,100,140,30
2014,Bond,NA,101,135,25
2014,Bond,NA,102,145,30
2014,Bond,NA,103,140,30
2014,Bond,NA,104,135,25
2014,Bond,NA,105,135,30
2014,Bond,NA,106,140,25
2014,Bond,NA,107,135,30
2014,Bond,NA,108,135,30
2014,Bond,14B,109,135,25
2014,Bond,14A,110,140,30
2014,Bond,14A,111,135,25
