date,start_time,expt_num,net_pen,treatment,obs_num,elapsed_time,time_between,obs,by,on,comment
28-Apr,18:45,3,B,NoLice,5,01:36.5,00:07.8,AT,M/S,,
28-Apr,18:45,3,B,NoLice,6,01:58.1,00:21.7,AT,M/S,,
28-Apr,18:45,3,B,NoLice,7,02:52.1,00:54.0,S,G,G,
28-Apr,18:45,3,B,NoLice,8,04:19.2,01:27.1,AT,L/S,,
28-Apr,18:45,3,B,NoLice,9,06:09.5,01:50.2,S,S,G,
28-Apr,18:45,3,B,NoLice,10,07:00.0,00:50.5,C,M,,
28-Apr,18:45,3,B,NoLice,11,07:10.0,00:10.0,S,G,G,
28-Apr,18:45,3,B,NoLice,12,07:19.9,00:09.9,C,L,G,
28-Apr,18:45,3,B,NoLice,13,07:25.5,00:05.6,C,M,G,
28-Apr,18:45,3,B,NoLice,14,07:55.6,00:30.1,C,M,G,
28-Apr,18:45,3,B,NoLice,15,08:08.0,00:12.4,C,S,I,
28-Apr,18:45,3,B,NoLice,16,08:10.3,00:02.3,AT,S/M,,15
28-Apr,18:45,3,B,NoLice,17,08:51.1,00:40.8,S,S,I,
28-Apr,18:45,3,B,NoLice,18,09:20.0,00:28.9,C,S,I,
28-Apr,18:45,3,B,NoLice,19,09:46.7,00:26.7,T,M/M,,
28-Apr,18:45,3,B,NoLice,20,09:54.6,00:07.9,C,M,I,
28-Apr,18:45,3,B,NoLice,21,10:13.4,00:18.8,T,M/M,,
28-Apr,18:45,3,B,NoLice,22,10:32.9,00:19.6,C,M,I,
28-Apr,18:45,3,B,NoLice,23,10:53.6,00:20.6,C,M,I,
28-Apr,18:45,3,B,NoLice,24,12:34.3,01:40.8,C,M,I,
28-Apr,18:45,3,B,NoLice,25,12:44.6,00:10.3,C,S,I,
28-Apr,18:45,3,B,NoLice,26,13:26.3,00:41.8,S,S,I,
28-Apr,18:45,3,B,NoLice,27,14:42.3,01:15.9,AT,S/S,,
28-Apr,18:45,3,B,NoLice,28,21:17.4,06:35.1,S,S,G,
28-Apr,18:45,3,B,NoLice,29,21:24.3,00:07.0,S,S,G,
28-Apr,18:45,3,B,NoLice,30,21:42.8,00:18.4,C,S,I,
28-Apr,18:45,3,B,NoLice,31,22:29.4,00:46.7,S,M,G,
28-Apr,18:45,3,B,NoLice,32,22:47.7,00:18.3,S,S,I,
28-Apr,18:45,3,B,NoLice,33,23:40.2,00:52.5,C,M,I,
28-Apr,18:45,3,B,NoLice,34,24:05.2,00:24.9,C,S,I,
28-Apr,18:45,3,B,NoLice,35,24:58.3,00:53.1,S,S,G,
28-Apr,18:45,3,B,NoLice,36,29:23.0,04:24.8,S,S,G,
28-Apr,18:45,3,B,NoLice,37,30:22.5,00:59.5,C,M,I,
28-Apr,18:45,3,B,NoLice,38,30:34.2,00:11.7,L,M,I,37
28-Apr,18:45,3,B,NoLice,39,30:52.3,00:18.1,S,M,I,
28-Apr,18:45,3,B,NoLice,40,31:07.5,00:15.2,T,L/S, ,
28-Apr,18:45,3,B,NoLice,41,32:41.7,01:34.2,S,M,I,
28-Apr,18:45,3,B,NoLice,42,33:21.4,00:39.7,S,M,I,
28-Apr,18:45,3,B,NoLice,43,33:40.7,00:19.3,S,S,I,
28-Apr,18:45,3,B,NoLice,44,34:03.9,00:23.2,S,M,I,
28-Apr,18:45,3,B,NoLice,45,41:18.6,07:14.7,S,M,G,
28-Apr,18:45,3,B,NoLice,46,41:51.7,00:33.1,S,S,I,
28-Apr,18:45,3,B,NoLice,47,44:06.4,02:14.7,C,S,I,
28-Apr,18:45,3,B,NoLice,48,44:30.6,00:24.2,L,S,I,
28-Apr,18:45,3,B,NoLice,49,46:51.5,02:20.9,C,M,I,
28-Apr,18:45,3,B,NoLice,50,46:58.5,00:07.0,S,S,G,
28-Apr,18:45,3,B,NoLice,51,47:07.0,00:08.4,AT,L/S,,
28-Apr,18:45,3,B,NoLice,52,48:30.2,01:23.2,L,S,I,
28-Apr,18:45,3,B,NoLice,53,48:38.3,00:08.1,C,M,I,from 52
28-Apr,18:45,3,B,NoLice,54,51:53.6,03:15.3,C,S,I,
28-Apr,18:45,3,B,NoLice,55,52:45.2,00:51.5,L,S,I,"55, 56, 57 all the same fish "
28-Apr,18:45,3,B,NoLice,56,52:47.3,00:02.1,C,S,I,
28-Apr,18:45,3,B,NoLice,57,52:56.4,00:09.1,L,S,I,
28-Apr,18:45,3,B,NoLice,58,54:28.9,01:32.6,S,S,G,
28-Apr,18:45,3,B,NoLice,59,54:42.9,00:14.0,S,M,G,
28-Apr,18:45,3,B,NoLice,60,54:53.5,00:10.6,S,M,I,
28-Apr,17:40,3,A,Lice,1,00:55.1,00:55.1,S,G,,
28-Apr,17:40,3,A,Lice,2,00:58.0,00:02.9,C,M,G,
28-Apr,17:40,3,A,Lice,3,01:02.9,00:04.9,C,L,I,
28-Apr,17:40,3,A,Lice,4,01:14.1,00:11.2,C,S,I,
28-Apr,17:40,3,A,Lice,5,01:17.9,00:03.8,C,M,I,
28-Apr,17:40,3,A,Lice,6,01:26.5,00:08.6,C,S,I,
28-Apr,17:40,3,A,Lice,7,01:31.6,00:05.1,C,S,I,
